"sample_id","post_relatedness_lower","post_relatedness_med","post_relatedness_upper","post_relatedness_mean"
"IM-23-122-YTQQ",0.315642291307449,0.424989297986031,0.54890176653862,0.426823251098394
"IM-23-122-YUAS",0.238790388032794,0.324273034930229,0.500216630101204,0.336283351749182
"IM-24-122-AFKX",0.419725502282381,0.518513053655624,0.730141676962376,0.536043539017439
"IM-24-122-AGRD",0.316810424625874,0.430177628993988,0.540189246833324,0.431366605073214
"IM-24-122-AHAC",NA,NA,NA,NA
"IM-24-122-AHSQ",0.175047422200441,0.263643965125084,0.432144908607006,0.274210607983172
"IM-24-122-AKHJ",0.554257924854755,0.631436407566071,0.762924718856811,0.641819894403219
"IM-24-122-AMYF",0.503459084033966,0.616671353578568,0.815210011601448,0.626950931161642
"IM-24-122-AYYM",NA,NA,NA,NA
"IM-24-122-BGSN",NA,NA,NA,NA
"IM-24-122-BHHI",0.0367773061618209,0.107784856110811,0.195516967773437,0.110854327609763
"IM-24-122-BHMO",0.249065878242254,0.450939118862152,0.610814520716667,0.451275000199676
"IM-24-122-BIFP",NA,NA,NA,NA
"IM-24-122-BLGH",NA,NA,NA,NA
"IM-24-122-CCZB",0.130633814260364,0.631557792425156,0.752618904411793,0.482502098880708
"IM-24-122-CDWZ",NA,NA,NA,NA
"IM-24-122-CLNI",NA,NA,NA,NA
"IM-24-122-CMAW",0.24176630191505,0.351852416992188,0.611115977168083,0.38356615807116
"IM-24-122-CTXI",0.429628656059504,0.536938160657883,0.769090142846107,0.545784898012877
"IM-24-122-CVGU",0.310323988646269,0.429026544094086,0.559054689109325,0.432473206058145
"IM-24-122-CWSL",0.486965849995613,0.601118206977844,0.798750376701355,0.607906826764345
"IM-24-122-CXNT",NA,NA,NA,NA
"IM-24-122-DCIU",0.491578879952431,0.611368805170059,0.800321723520756,0.617963049948215
"IM-24-122-DDAR",NA,NA,NA,NA
"IM-24-122-DHFA",NA,NA,NA,NA
"IM-24-122-DHWT",NA,NA,NA,NA
"IM-24-122-DJLT",NA,NA,NA,NA
"IM-24-122-DMNS",NA,NA,NA,NA
"IM-24-122-DMQN",0.0208159198518842,0.0722552463412285,0.153950258716941,0.0758292148755863
"IM-24-122-DONS",NA,NA,NA,NA
"IM-24-122-DRRI",0.174914975464344,0.248433165252209,0.36598117351532,0.253776804022491
"IM-24-122-DTTN",NA,NA,NA,NA
"IM-24-122-DWKN",NA,NA,NA,NA
"IM-24-122-FABY",NA,NA,NA,NA
"IM-24-122-FACH",NA,NA,NA,NA
"IM-24-122-FADH",NA,NA,NA,NA
"IM-24-122-FBDF",NA,NA,NA,NA
"IM-24-122-FCSH",NA,NA,NA,NA
"IM-24-122-FHHB",NA,NA,NA,NA
"IM-24-122-FIHG",NA,NA,NA,NA
"IM-24-122-FJKM",0.0914131013676524,0.28336675465107,0.443522237241268,0.277100158527493
"IM-24-122-GMFM",0.96916036605835,0.980756819248199,0.997015917301178,0.983231800443986
