"locus","post_stat_lower","post_stat_med","post_stat_upper","post_stat_mean"
"Pf3D7_04_v3-133928-134154-1A",0.334945832156007,0.41516694172431,0.47789179024018,0.412123522600482
"Pf3D7_04_v3-140317-140548-1A",0.297252047658754,0.375900940671272,0.443552002026639,0.374128783320977
"Pf3D7_04_v3-141741-141990-1A",0.55606519368947,0.633896719369691,0.687733601509615,0.631258134762983
"Pf3D7_04_v3-284121-284364-1A",0.719485797940802,0.761728460325862,0.789778082152469,0.760346987249935
"Pf3D7_04_v3-544454-544718-1A",0.703275587501186,0.751311006205507,0.787193461362844,0.750349095787113
"Pf3D7_04_v3-648065-648332-1A",0.38538505056129,0.459166442619053,0.516098031176859,0.456985167197228
"Pf3D7_04_v3-900526-900759-1A",0.408519097278473,0.491610743141318,0.552680080868901,0.489077611872767
"Pf3D7_05_v3-1188456-1188706-1A",0.702362281559361,0.755002822307066,0.795613088147745,0.753889259678125
"Pf3D7_05_v3-1322099-1322341-1A",0.625530245015597,0.682082508695327,0.731189076021621,0.681482224080359
"Pf3D7_05_v3-213027-213251-1A",0.710011641597122,0.755990462287469,0.794468431035455,0.755018802881761
"Pf3D7_05_v3-350808-351052-1A",0.605732937509459,0.669977834703632,0.723163114318749,0.66889870064645
"Pf3D7_05_v3-369676-369949-1A",0.6052799917232,0.669033218438467,0.714879036273641,0.666342507188325
"Pf3D7_05_v3-395887-396136-1A",0.462766567770834,0.494422742991507,0.499989217137012,0.490745277691313
"Pf3D7_05_v3-641131-641404-1A",0.433835805583285,0.49014370436463,0.527016197564405,0.4876201783552
"Pf3D7_05_v3-668763-669004-1A",0.819886794811185,0.847499539999342,0.86557916207823,0.846185678035514
"Pf3D7_05_v3-796518-796759-1A",0.554347251023395,0.626427725012978,0.679686881710211,0.623547086531088
"Pf3D7_06_v3-1115900-1116168-1A",0.389729073296621,0.448612817735324,0.492020113603502,0.446843880870237
"Pf3D7_06_v3-1128558-1128797-1A",0.417842366030648,0.474902790163478,0.498963829081891,0.470669370560058
"Pf3D7_06_v3-1135605-1135855-1A",0.47091325450436,0.49712604995871,0.499996688385541,0.494077463134399
"Pf3D7_06_v3-1136091-1136364-1A",0.477260685538903,0.497354146405617,0.499986671995627,0.495204240994524
"Pf3D7_06_v3-1140900-1141174-1A",0.436505333181054,0.48498714956779,0.499929754524877,0.480568707768577
"Pf3D7_06_v3-1192628-1192867-1A",0.37458825727212,0.436911401329279,0.480357379274985,0.434419427238215
"Pf3D7_06_v3-1197245-1197515-1A",0.124299933653992,0.196223969973186,0.282054578487436,0.198233872641068
"Pf3D7_06_v3-1235395-1235658-1A",0.449426311302942,0.491808375215493,0.499970401518228,0.487771337932593
"Pf3D7_06_v3-1282656-1282930-1A",0.560910540457775,0.624228471364577,0.675319873749344,0.621192499059387
"Pf3D7_06_v3-145285-145531-1A",0.450790005915512,0.522424382154377,0.579454522544634,0.520520059482703
"Pf3D7_06_v3-416462-416720-1A",-2.88657986402541e-15,-8.88178419700125e-16,0,-1.27764465673863e-15
"Pf3D7_06_v3-532166-532407-1A",0.750107837265093,0.791498494419992,0.823301460045034,0.790259258117122
"Pf3D7_06_v3-851492-851765-1A",0.69291049042054,0.73860255359508,0.780777509102826,0.738534485036302
"Pf3D7_07_v3-105172-105442-1A",0.762676564978429,0.792550256989307,0.814223487166243,0.791382518398254
"Pf3D7_07_v3-1066661-1066903-1A",0.464911650615964,0.538505255093685,0.595095313060676,0.536410251518689
"Pf3D7_07_v3-1149367-1149613-1A",0.0806724539514003,0.147766792589684,0.232150142195892,0.149605957691528
"Pf3D7_07_v3-432832-433091-1A",0.0568925797660186,0.109505542274516,0.18633686175101,0.111640151147774
"Pf3D7_07_v3-475313-475545-1A",0.459480356566643,0.49411449507173,0.499975003657915,0.489882847838968
"Pf3D7_07_v3-627351-627625-1A",0.66831000865067,0.704034859783993,0.732733306051201,0.703471042693487
"Pf3D7_07_v3-717260-717493-1A",0.429920480123139,0.485191038860828,0.525951643331838,0.483112371393341
"Pf3D7_07_v3-729480-729750-1A",0.377912556369019,0.45599952713608,0.527418361704422,0.455905734615268
"Pf3D7_08_v3-102277-102527-1A",0.570118099476618,0.618098358880503,0.666843712091393,0.618586298733564
"Pf3D7_08_v3-1056678-1056903-1A",0.498757914725731,0.522219569546658,0.556970956279736,0.523877930656214
"Pf3D7_08_v3-1099719-1099977-1A",0.671160733710011,0.708436779693306,0.735297718757119,0.706812620579336
"Pf3D7_08_v3-1176313-1176549-1A",0.592236363984853,0.653299597376705,0.702141587957271,0.652610770470594
"Pf3D7_08_v3-1313088-1313338-1A",0.327226828646402,0.417247131483864,0.488985249708238,0.415211019606393
"Pf3D7_08_v3-1314717-1314986-1A",0.402119803670349,0.483590541146328,0.555892600748028,0.482444020034879
"Pf3D7_08_v3-1344618-1344845-1A",0.682276808882607,0.715205549243771,0.741125275867798,0.714471346929224
"Pf3D7_08_v3-336421-336651-1A",0.693496330961503,0.735954926964065,0.767485261960924,0.733700222859805
"Pf3D7_08_v3-399693-399961-1A",0.412447603500027,0.496624594532613,0.565587033340869,0.494947204209243
"Pf3D7_08_v3-412801-413062-1A",0.629115763916031,0.669368680423495,0.704473519303994,0.669047803796503
"Pf3D7_08_v3-476232-476475-1A",0.311719883717947,0.391146763103579,0.456259770605757,0.389823010546946
"Pf3D7_08_v3-585331-585590-1A",0.28366572841583,0.366646970596539,0.438448342491244,0.365187015794257
"Pf3D7_08_v3-585703-585949-1A",0.58132261089511,0.619820454929225,0.649465845713919,0.6186709043078
"Pf3D7_08_v3-585993-586266-1A",0.342908501977483,0.416753701250057,0.475761196514327,0.415697046256223
"Pf3D7_09_v3-1015103-1015350-1A",0.356173066648531,0.448275145845404,0.531494149189661,0.446844021128256
"Pf3D7_09_v3-1406342-1406614-1A",0.571685765497919,0.609171098335435,0.642331028190864,0.608696235169517
