"sample_id","post_relatedness_lower","post_relatedness_med","post_relatedness_upper","post_relatedness_mean"
"Z20349",0.0482692779041827,0.369246482849121,0.517649136483669,0.290186964670196
"Z20353",NA,NA,NA,NA
"Z20354",NA,NA,NA,NA
"Z20362",NA,NA,NA,NA
"Z20366",0.130789313837886,0.220159530639648,0.321780652552843,0.223271306730807
"Z20369",0.435725708305836,0.547508180141449,0.764346799254418,0.556982536077499
"Z20370",NA,NA,NA,NA
"Z20371",0.867683982849121,0.948536574840546,0.984088325500488,0.942716445815697
"Z20372",0.926654708385468,0.939876198768616,0.972176857292652,0.945032730698586
"Z20378",0.0461700878106058,0.116958629339933,0.225571850314736,0.12433153389208
"Z20380",0.321263756603003,0.438889890909195,0.556774532794952,0.438514866948128
"Z20382",NA,NA,NA,NA
"Z20388",0.215671283006668,0.321602955460548,0.459891280531883,0.327389764666557
"Z20390",0.117003390006721,0.22441828250885,0.341177374124527,0.223754295989871
"Z20394",0.748944987356663,0.846258193254471,0.938377417623997,0.846440954685211
"Z20395",NA,NA,NA,NA
"Z20396",0.06327362107113,0.282752245664597,0.442968143522739,0.272641863118857
"Z20398",0.18408316411078,0.295436710119247,0.405780405551195,0.29447545607388
"Z20399",NA,NA,NA,NA
"Z20400",0.17966339699924,0.370045021176338,0.49297554641962,0.353752823293209
"Z20404",0.6857267126441,0.759397447109222,0.820740781724453,0.756493323564529
"Z20405",0.0807635594159365,0.178410828113556,0.286912252008915,0.18089545711875
"Z20415",NA,NA,NA,NA
"Z20416",0.597357767820358,0.707165628671646,0.854288193583488,0.711305238187313
"Z20417",0.608395984768867,0.702848017215729,0.862850961089134,0.710009759187698
"Z20419",NA,NA,NA,NA
