"sample_id","post_effective_coi_lower","post_effective_coi_med","post_effective_coi_upper","post_effective_coi_mean"
"Maz_IM-23-122-HMID",1,1,1,1
"Maz_IM-23-122-HSBS",1.78936332166195,1.95884716510773,2.17670260071754,1.96445180296898
"Maz_IM-23-122-HTXO",1,1,1.06940531730652,1.00452204060555
"Maz_IM-23-122-HWJN",1.30014009177685,1.41745814681053,1.55390565246344,1.41874127674103
"Maz_IM-23-122-IOGO",3.83754067122936,4.16452980041504,4.50045581161976,4.16393784323335
"Maz_IM-23-122-JVIK",1.83739647455513,1.92033850029111,1.97185361385345,1.91590155922156
"Maz_IM-23-122-KAOL",1.35386012196541,1.45318746566772,1.55998572483659,1.45322554787993
"Maz_IM-23-122-KGAH",1,1,1,1.00007437586784
"Maz_IM-23-122-KXSC",1.54051268026233,1.65596431493759,1.77633236013353,1.65675292304158
"Maz_IM-23-122-KXSM",1.79056728556752,1.89488942176104,1.96659154593945,1.88929940417223
"Maz_IM-23-122-LVNL",1,1.10831025242805,1.18691681921482,1.09234053653479
"Maz_IM-23-122-MADZ",1,1,1,1
"Maz_IM-23-122-NLRL",4.28223451972008,4.62534038722515,4.98129442706704,4.62621562983096
"Maz_IM-23-122-NMNY",1,1,1,1.00028914058208
"Maz_IM-23-122-OBAR",1.51099816411734,1.62537740170956,1.73452413231134,1.62402018621564
"Maz_IM-23-122-OUOH",1,1,1,1
"Maz_IM-23-122-PUNL",1.99117359519005,2.14803168177605,2.33583828210831,2.15189945679903
"Maz_IM-23-122-RAWG",1.55705472826958,1.70195138454437,1.88264026045799,1.7046830804944
"Maz_IM-23-122-RHAA",1.06145634502172,1.11362746357918,1.19097865223885,1.11769390314817
"Maz_IM-23-122-RMAM",2.98105260431767,3.22195835411549,3.4820598769933,3.22659773831069
"Maz_IM-23-122-ROAO",1,1,1,1
"Maz_IM-23-122-RWTH",1,1,1,1.00001834344864
"Maz_IM-23-122-SFZS",3.6199930280447,3.9378947019577,4.25923171192408,3.93721219608188
"Maz_IM-23-122-SVVU",1.94031837582588,2.14024710655212,2.34040940850973,2.14336598038673
"Maz_IM-23-122-TFAY",1,1,1,1
"Maz_IM-23-122-TMSF",1,1,1,1.00014843153954
"Maz_IM-23-122-VBKQ",1,1,1,1
"Maz_IM-23-122-VSRZ",1,1,1,1
"Maz_IM-23-122-VYRP",1,1,1,1
"Maz_IM-23-122-WVFA",1.36360603421926,1.48564881086349,1.62349568009377,1.486402633816
"Maz_IM-23-122-XFGC",1.79492621868849,1.88979494571686,1.95685044517741,1.88810528675653
"Maz_IM-23-122-XHZJ",4.43606846481562,4.80602326244116,5.2662163041532,4.82391036297381
"Maz_IM-23-122-YBAA",1,1,1,1.00003649246693
"Maz_IM-23-122-YMLZ",1.80745462477207,1.90179978683591,2.15332008600235,1.90906810099818
"Maz_IM-23-122-YNLT",2.79208075776696,3.0412577688694,3.32036120444536,3.04912393371761
"Maz_IM-23-122-YNPZ",1,1,1,1
"Maz_IM-23-122-YTQQ",1.46497510671616,1.57873392105103,1.6879142485559,1.57703873726726
"Maz_IM-23-122-YUAS",2.74411724358797,3.00082497298717,3.25270692892373,3.0027866473496
"Maz_IM-24-122-AFKX",1.81793174743652,1.99031549692154,2.18443987518549,1.99289803892374
"Maz_IM-24-122-AGRD",1.4505904763937,1.55956381559372,1.67292451560497,1.55961744335294
"Maz_IM-24-122-AHAC",1,1,1.04382186830044,1.00204399210215
"Maz_IM-24-122-AHSQ",3.59228875637054,3.90633392333984,4.24003661870956,3.90806783983111
"Maz_IM-24-122-AKHJ",1.94156527519226,2.13591945171356,2.34117166250944,2.1374849024415
"Maz_IM-24-122-AMYF",1.28648749738932,1.38161343336105,1.48058179169893,1.38091277590394
"Maz_IM-24-122-AYYM",1,1,1,1.00003855752945
"Maz_IM-24-122-BGSN",1,1,1,1
"Maz_IM-24-122-BHHI",1.79505685307086,1.89488345757127,1.96739072883502,1.89137479023077
"Maz_IM-24-122-BHMO",2.38415626883507,2.61404560506344,2.85844842791557,2.61581413316727
"Maz_IM-24-122-BIFP",1,1,1,1
"Maz_IM-24-122-BLGH",1,1,1,1
"Maz_IM-24-122-CCZB",1.71604707166553,1.91023507714272,2.14961656033993,1.91115396314859
"Maz_IM-24-122-CDWZ",1,1,1,1
"Maz_IM-24-122-CLNI",1,1,1,1
"Maz_IM-24-122-CMAW",2.17435240149498,2.37988772988319,2.60941675901413,2.38254762497544
"Maz_IM-24-122-CTXI",1.35937279611826,1.4673333466053,1.58451270908117,1.46856798756123
"Maz_IM-24-122-CVGU",1.4476413294673,1.55810913443565,1.68024097383022,1.55973946604133
"Maz_IM-24-122-CWSL",1.30066523849964,1.40324202179909,1.50948648825288,1.40373388931155
"Maz_IM-24-122-CXNT",1,1,1,1
