"sample_id","post_effective_coi_lower","post_effective_coi_med","post_effective_coi_upper","post_effective_coi_mean"
"IM-23-120-HNNN",1.61445664986968,1.7334406375885,1.84619912616909,1.73254406873882
"IM-23-120-HNVS",2.46453554183245,2.70736274123192,2.95620140880346,2.70934727625549
"IM-23-120-HPOS",2.21637206971645,2.42807897925377,2.67160501480103,2.43274976806343
"IM-23-120-HYRK",1,1,1,1
"IM-23-120-IBNC",2.63071065917611,2.86222660541534,3.10469069853425,2.86323236777633
"IM-23-120-INSC",1.78465204723179,2.01836627721786,2.23348645418882,2.01104987708479
"IM-23-120-JCSB",3.3165036469698,3.64637792110443,3.9946717903018,3.64652693532407
"IM-23-120-JFXY",1,1,1,1
"IM-23-120-JGUR",1.4312497317791,1.57347959280014,1.73195801377296,1.5736621017158
"IM-23-120-JHSR",1.72296446785331,1.82652753591537,1.91219504829496,1.82345619450323
"IM-23-120-JJDZ",1,1,1,1
"IM-23-120-JPRR",1.77204221859574,1.87421970814466,1.95518694072962,1.87098488989822
"IM-23-120-KAYR",1,1,1,1
"IM-23-120-KIHV",1,1.09047037363052,1.18181824088097,1.07704338419437
"IM-23-120-KJBB",1,1,1,1.00002556979656
"IM-23-120-KKWL",1,1,1,1
"IM-23-120-KPZK",1,1,1,1
"IM-23-120-KSRI",1.89277971684933,2.06217539310455,2.25880670398474,2.06573783609271
"IM-23-120-KVYX",1,1,1,1
"IM-23-120-LAPH",1.87638559211046,1.94440140761435,1.98581879138947,1.94075266281306
"IM-23-120-LDKS",1.95972051024437,2.1323921084404,2.32343422174454,2.13363019937277
"IM-23-120-LGRX",1.82999600023031,1.9175177142024,1.97658602390438,1.91379192370805
"IM-23-120-LZFX",1,1,1,1
"IM-23-120-MCBK",1,1,1,1
"IM-23-120-MHCH",1.61749340668321,1.73268990218639,1.8456897649914,1.73138682207838
"IM-23-120-MIUG",1.66029733866453,1.76906660199165,1.87065066583455,1.76824614782585
"IM-23-120-MRVB",3.68536213263869,4.12353014945984,4.52604680433869,4.11085756380344
"IM-23-120-MSIC",1.32764643728733,1.43477958440781,1.54963493868709,1.43525327797234
"IM-23-120-MTOL",1.82062183916569,1.98832428455353,2.1750431612134,1.99006738656759
